id,username,email,signup_date,role
1a79a4d6-7e3b-4f2b-8c3d-1f4e5d6c7b8a,johndoe,johndoe@test.com,2025-01-02,user
2b8c9d0e-1f2a-4b3c-9d0e-2f3a4b5c6d7e,janesmith,janesmith@test.com,2025-02-15,user
3c9d0e1f-2a3b-4c5d-6e7f-3a4b5c6d7e8f,emilyj,emilyj@test.com,2025-03-20,admin
4d0e1f2a-3b4c-5d6e-7f8a-4b5c6d7e8f9g,michaelb,michaelb@test.com,2025-04-10,user
5e1f2a3b-4c5d-6e7f-8a9b-5c6d7e8f9g0h,sarahd,sarahd@test.com,2025-05-05,user
6f2a3b4c-5d6e-7f8a-9b0c-6d7e8f9g0h1i,davidw,davidw@test.com,2025-06-18,user
7g3b4c5d-6e7f-8a9b-0c1d-7e8f9g0h1i2j,lauram,lauram@tx.com,2025-07-22,admin
8h4c5d6e-7f8a-9b0c-1d2e-8f9g0h1i2j3k,jamesa,jamesa@test.com,2025-08-30,user
9i5d6e7f-8a9b-0c1d-2e3f-9g0h1i2j3k4l,lindat,lindat@pet@pet.com,2025-09-12,user
0j6e7f8a-9b0c-1d2e-3f4g-0h1i2j3k4l5m,robertt,robertt@pet.com,2025-10-25,admin
